image_id,class,raw_path,processed_path,source_type,colormap,pixel_to_mm,weld_id,defect_present,label_type,split,orig_h,orig_w,crop_r0,crop_r1,crop_c0,crop_c1,patch_size,mask_path,defect_area_px,defect_area_frac,n_components,mask_empty,used_fallback
porosity__G117_2,porosity,data/raw/porosity/G117_2.jpg,data/processed/porosity/porosity__G117_2.npy,gray,none,1.0,porosity__G117,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G117_2.npy,82,0.001251,2,False,False
porosity__G117_3,porosity,data/raw/porosity/G117_3.jpg,data/processed/porosity/porosity__G117_3.npy,gray,none,1.0,porosity__G117,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G117_3.npy,47,0.000717,1,False,False
porosity__G118_1,porosity,data/raw/porosity/G118_1.jpg,data/processed/porosity/porosity__G118_1.npy,gray,none,1.0,porosity__G118,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G118_1.npy,136,0.002075,5,False,False
porosity__G118_2,porosity,data/raw/porosity/G118_2.jpg,data/processed/porosity/porosity__G118_2.npy,gray,none,1.0,porosity__G118,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G118_2.npy,96,0.001465,2,False,False
porosity__G118_3,porosity,data/raw/porosity/G118_3.jpg,data/processed/porosity/porosity__G118_3.npy,gray,none,1.0,porosity__G118,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G118_3.npy,57,0.00087,1,False,False
porosity__G119_1,porosity,data/raw/porosity/G119_1.jpg,data/processed/porosity/porosity__G119_1.npy,gray,none,1.0,porosity__G119,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G119_1.npy,29,0.000443,1,False,False
porosity__G119_2,porosity,data/raw/porosity/G119_2.jpg,data/processed/porosity/porosity__G119_2.npy,gray,none,1.0,porosity__G119,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G119_2.npy,57,0.00087,1,False,False
porosity__G119_3,porosity,data/raw/porosity/G119_3.jpg,data/processed/porosity/porosity__G119_3.npy,gray,none,1.0,porosity__G119,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G119_3.npy,40,0.00061,1,False,False
porosity__G12,porosity,data/raw/porosity/G12.jpg,data/processed/porosity/porosity__G12.npy,gray,none,1.0,porosity__G12,True,pseudo_pending,val,512,512,38,453,69,460,256,data/processed/masks/porosity/porosity__G12.npy,228,0.003479,10,False,False
porosity__G120_1,porosity,data/raw/porosity/G120_1.jpg,data/processed/porosity/porosity__G120_1.npy,gray,none,1.0,porosity__G120,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G120_1.npy,72,0.001099,4,False,False
porosity__G120_2,porosity,data/raw/porosity/G120_2.jpg,data/processed/porosity/porosity__G120_2.npy,gray,none,1.0,porosity__G120,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G120_2.npy,126,0.001923,3,False,False
porosity__G120_3,porosity,data/raw/porosity/G120_3.jpg,data/processed/porosity/porosity__G120_3.npy,gray,none,1.0,porosity__G120,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G120_3.npy,60,0.000916,1,False,False
porosity__G121_1,porosity,data/raw/porosity/G121_1.jpg,data/processed/porosity/porosity__G121_1.npy,gray,none,1.0,porosity__G121,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G121_1.npy,47,0.000717,3,False,False
porosity__G121_2,porosity,data/raw/porosity/G121_2.jpg,data/processed/porosity/porosity__G121_2.npy,gray,none,1.0,porosity__G121,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G121_2.npy,106,0.001617,2,False,False
porosity__G121_3,porosity,data/raw/porosity/G121_3.jpg,data/processed/porosity/porosity__G121_3.npy,gray,none,1.0,porosity__G121,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G121_3.npy,241,0.003677,5,False,False
porosity__G122_1,porosity,data/raw/porosity/G122_1.jpg,data/processed/porosity/porosity__G122_1.npy,gray,none,1.0,porosity__G122,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G122_1.npy,26,0.000397,1,False,False
porosity__G122_2,porosity,data/raw/porosity/G122_2.jpg,data/processed/porosity/porosity__G122_2.npy,gray,none,1.0,porosity__G122,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G122_2.npy,108,0.001648,2,False,False
porosity__G122_3,porosity,data/raw/porosity/G122_3.jpg,data/processed/porosity/porosity__G122_3.npy,gray,none,1.0,porosity__G122,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G122_3.npy,80,0.001221,3,False,False
porosity__G123_1,porosity,data/raw/porosity/G123_1.jpg,data/processed/porosity/porosity__G123_1.npy,gray,none,1.0,porosity__G123,True,pseudo_pending,val,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G123_1.npy,37,0.000565,3,False,False
porosity__G123_2,porosity,data/raw/porosity/G123_2.jpg,data/processed/porosity/porosity__G123_2.npy,gray,none,1.0,porosity__G123,True,pseudo_pending,val,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G123_2.npy,31,0.000473,1,False,False
porosity__G123_3,porosity,data/raw/porosity/G123_3.jpg,data/processed/porosity/porosity__G123_3.npy,gray,none,1.0,porosity__G123,True,pseudo_pending,val,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G123_3.npy,55,0.000839,1,False,False
porosity__G124_1,porosity,data/raw/porosity/G124_1.jpg,data/processed/porosity/porosity__G124_1.npy,gray,none,1.0,porosity__G124,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G124_1.npy,74,0.001129,3,False,False
porosity__G124_2,porosity,data/raw/porosity/G124_2.jpg,data/processed/porosity/porosity__G124_2.npy,gray,none,1.0,porosity__G124,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G124_2.npy,174,0.002655,4,False,False
porosity__G124_3,porosity,data/raw/porosity/G124_3.jpg,data/processed/porosity/porosity__G124_3.npy,gray,none,1.0,porosity__G124,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G124_3.npy,73,0.001114,2,False,False
porosity__G125_1,porosity,data/raw/porosity/G125_1.jpg,data/processed/porosity/porosity__G125_1.npy,gray,none,1.0,porosity__G125,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G125_1.npy,51,0.000778,3,False,False
porosity__G125_2,porosity,data/raw/porosity/G125_2.jpg,data/processed/porosity/porosity__G125_2.npy,gray,none,1.0,porosity__G125,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G125_2.npy,103,0.001572,3,False,False
porosity__G125_3,porosity,data/raw/porosity/G125_3.jpg,data/processed/porosity/porosity__G125_3.npy,gray,none,1.0,porosity__G125,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G125_3.npy,79,0.001205,4,False,False
porosity__G126_1,porosity,data/raw/porosity/G126_1.jpg,data/processed/porosity/porosity__G126_1.npy,gray,none,1.0,porosity__G126,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G126_1.npy,71,0.001083,4,False,False
porosity__G126_2,porosity,data/raw/porosity/G126_2.jpg,data/processed/porosity/porosity__G126_2.npy,gray,none,1.0,porosity__G126,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G126_2.npy,156,0.00238,3,False,False
porosity__G126_3,porosity,data/raw/porosity/G126_3.jpg,data/processed/porosity/porosity__G126_3.npy,gray,none,1.0,porosity__G126,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G126_3.npy,174,0.002655,5,False,False
porosity__G127_1,porosity,data/raw/porosity/G127_1.jpg,data/processed/porosity/porosity__G127_1.npy,gray,none,1.0,porosity__G127,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G127_1.npy,102,0.001556,7,False,False
porosity__G127_2,porosity,data/raw/porosity/G127_2.jpg,data/processed/porosity/porosity__G127_2.npy,gray,none,1.0,porosity__G127,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G127_2.npy,97,0.00148,3,False,False
porosity__G127_3,porosity,data/raw/porosity/G127_3.jpg,data/processed/porosity/porosity__G127_3.npy,gray,none,1.0,porosity__G127,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G127_3.npy,51,0.000778,1,False,False
porosity__G128_1,porosity,data/raw/porosity/G128_1.jpg,data/processed/porosity/porosity__G128_1.npy,gray,none,1.0,porosity__G128,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G128_1.npy,47,0.000717,3,False,False
porosity__G128_2,porosity,data/raw/porosity/G128_2.jpg,data/processed/porosity/porosity__G128_2.npy,gray,none,1.0,porosity__G128,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G128_2.npy,160,0.002441,6,False,False
porosity__G128_3,porosity,data/raw/porosity/G128_3.jpg,data/processed/porosity/porosity__G128_3.npy,gray,none,1.0,porosity__G128,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G128_3.npy,71,0.001083,4,False,False
porosity__G141_1,porosity,data/raw/porosity/G141_1.jpg,data/processed/porosity/porosity__G141_1.npy,gray,none,1.0,porosity__G141,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G141_1.npy,39,0.000595,3,False,False
porosity__G141_2,porosity,data/raw/porosity/G141_2.jpg,data/processed/porosity/porosity__G141_2.npy,gray,none,1.0,porosity__G141,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G141_2.npy,83,0.001266,2,False,False
porosity__G141_3,porosity,data/raw/porosity/G141_3.jpg,data/processed/porosity/porosity__G141_3.npy,gray,none,1.0,porosity__G141,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G141_3.npy,56,0.000854,1,False,False
porosity__G142_1,porosity,data/raw/porosity/G142_1.jpg,data/processed/porosity/porosity__G142_1.npy,gray,none,1.0,porosity__G142,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G142_1.npy,38,0.00058,4,False,False
porosity__G142_2,porosity,data/raw/porosity/G142_2.jpg,data/processed/porosity/porosity__G142_2.npy,gray,none,1.0,porosity__G142,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G142_2.npy,40,0.00061,2,False,False
porosity__G142_3,porosity,data/raw/porosity/G142_3.jpg,data/processed/porosity/porosity__G142_3.npy,gray,none,1.0,porosity__G142,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G142_3.npy,61,0.000931,2,False,False
porosity__G143_1,porosity,data/raw/porosity/G143_1.jpg,data/processed/porosity/porosity__G143_1.npy,gray,none,1.0,porosity__G143,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G143_1.npy,39,0.000595,3,False,False
porosity__G143_2,porosity,data/raw/porosity/G143_2.jpg,data/processed/porosity/porosity__G143_2.npy,gray,none,1.0,porosity__G143,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G143_2.npy,88,0.001343,4,False,False
porosity__G143_3,porosity,data/raw/porosity/G143_3.jpg,data/processed/porosity/porosity__G143_3.npy,gray,none,1.0,porosity__G143,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G143_3.npy,43,0.000656,1,False,False
porosity__G144_1,porosity,data/raw/porosity/G144_1.jpg,data/processed/porosity/porosity__G144_1.npy,gray,none,1.0,porosity__G144,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G144_1.npy,28,0.000427,2,False,False
porosity__G144_2,porosity,data/raw/porosity/G144_2.jpg,data/processed/porosity/porosity__G144_2.npy,gray,none,1.0,porosity__G144,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G144_2.npy,44,0.000671,2,False,False
porosity__G145_1,porosity,data/raw/porosity/G145_1.jpg,data/processed/porosity/porosity__G145_1.npy,gray,none,1.0,porosity__G145,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G145_1.npy,48,0.000732,3,False,False
porosity__G145_2,porosity,data/raw/porosity/G145_2.jpg,data/processed/porosity/porosity__G145_2.npy,gray,none,1.0,porosity__G145,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G145_2.npy,124,0.001892,3,False,False
porosity__G145_3,porosity,data/raw/porosity/G145_3.jpg,data/processed/porosity/porosity__G145_3.npy,gray,none,1.0,porosity__G145,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G145_3.npy,95,0.00145,1,False,False
porosity__G146_1,porosity,data/raw/porosity/G146_1.jpg,data/processed/porosity/porosity__G146_1.npy,gray,none,1.0,porosity__G146,True,pseudo_pending,val,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G146_1.npy,44,0.000671,2,False,False
porosity__G146_2,porosity,data/raw/porosity/G146_2.jpg,data/processed/porosity/porosity__G146_2.npy,gray,none,1.0,porosity__G146,True,pseudo_pending,val,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G146_2.npy,214,0.003265,5,False,False
porosity__G146_3,porosity,data/raw/porosity/G146_3.jpg,data/processed/porosity/porosity__G146_3.npy,gray,none,1.0,porosity__G146,True,pseudo_pending,val,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G146_3.npy,65,0.000992,1,False,False
porosity__G147_1,porosity,data/raw/porosity/G147_1.jpg,data/processed/porosity/porosity__G147_1.npy,gray,none,1.0,porosity__G147,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G147_1.npy,50,0.000763,2,False,False
porosity__G147_2,porosity,data/raw/porosity/G147_2.jpg,data/processed/porosity/porosity__G147_2.npy,gray,none,1.0,porosity__G147,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G147_2.npy,94,0.001434,2,False,False
porosity__G147_3,porosity,data/raw/porosity/G147_3.jpg,data/processed/porosity/porosity__G147_3.npy,gray,none,1.0,porosity__G147,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G147_3.npy,60,0.000916,3,False,False
porosity__G148_1,porosity,data/raw/porosity/G148_1.jpg,data/processed/porosity/porosity__G148_1.npy,gray,none,1.0,porosity__G148,True,pseudo_pending,val,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G148_1.npy,47,0.000717,4,False,False
porosity__G148_2,porosity,data/raw/porosity/G148_2.jpg,data/processed/porosity/porosity__G148_2.npy,gray,none,1.0,porosity__G148,True,pseudo_pending,val,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G148_2.npy,32,0.000488,1,False,False
porosity__G148_3,porosity,data/raw/porosity/G148_3.jpg,data/processed/porosity/porosity__G148_3.npy,gray,none,1.0,porosity__G148,True,pseudo_pending,val,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G148_3.npy,68,0.001038,2,False,False
porosity__G149_1,porosity,data/raw/porosity/G149_1.jpg,data/processed/porosity/porosity__G149_1.npy,gray,none,1.0,porosity__G149,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G149_1.npy,54,0.000824,3,False,False
porosity__G149_2,porosity,data/raw/porosity/G149_2.jpg,data/processed/porosity/porosity__G149_2.npy,gray,none,1.0,porosity__G149,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G149_2.npy,123,0.001877,3,False,False
porosity__G149_3,porosity,data/raw/porosity/G149_3.jpg,data/processed/porosity/porosity__G149_3.npy,gray,none,1.0,porosity__G149,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G149_3.npy,45,0.000687,1,False,False
porosity__G150_1,porosity,data/raw/porosity/G150_1.jpg,data/processed/porosity/porosity__G150_1.npy,gray,none,1.0,porosity__G150,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G150_1.npy,45,0.000687,2,False,False
porosity__G150_2,porosity,data/raw/porosity/G150_2.jpg,data/processed/porosity/porosity__G150_2.npy,gray,none,1.0,porosity__G150,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G150_2.npy,141,0.002151,3,False,False
porosity__G150_3,porosity,data/raw/porosity/G150_3.jpg,data/processed/porosity/porosity__G150_3.npy,gray,none,1.0,porosity__G150,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G150_3.npy,134,0.002045,3,False,False
porosity__G155_1,porosity,data/raw/porosity/G155_1.jpg,data/processed/porosity/porosity__G155_1.npy,gray,none,1.0,porosity__G155,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G155_1.npy,81,0.001236,4,False,False
porosity__G155_2,porosity,data/raw/porosity/G155_2.jpg,data/processed/porosity/porosity__G155_2.npy,gray,none,1.0,porosity__G155,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G155_2.npy,140,0.002136,3,False,False
porosity__G155_3,porosity,data/raw/porosity/G155_3.jpg,data/processed/porosity/porosity__G155_3.npy,gray,none,1.0,porosity__G155,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G155_3.npy,220,0.003357,3,False,False
porosity__G156_1,porosity,data/raw/porosity/G156_1.jpg,data/processed/porosity/porosity__G156_1.npy,gray,none,1.0,porosity__G156,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G156_1.npy,69,0.001053,3,False,False
porosity__G156_2,porosity,data/raw/porosity/G156_2.jpg,data/processed/porosity/porosity__G156_2.npy,gray,none,1.0,porosity__G156,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G156_2.npy,197,0.003006,6,False,False
porosity__G156_3,porosity,data/raw/porosity/G156_3.jpg,data/processed/porosity/porosity__G156_3.npy,gray,none,1.0,porosity__G156,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G156_3.npy,265,0.004044,4,False,False
porosity__G157_1,porosity,data/raw/porosity/G157_1.jpg,data/processed/porosity/porosity__G157_1.npy,gray,none,1.0,porosity__G157,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G157_1.npy,23,0.000351,2,False,False
porosity__G157_2,porosity,data/raw/porosity/G157_2.jpg,data/processed/porosity/porosity__G157_2.npy,gray,none,1.0,porosity__G157,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G157_2.npy,67,0.001022,3,False,False
porosity__G157_3,porosity,data/raw/porosity/G157_3.jpg,data/processed/porosity/porosity__G157_3.npy,gray,none,1.0,porosity__G157,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G157_3.npy,42,0.000641,1,False,False
porosity__G158_1,porosity,data/raw/porosity/G158_1.jpg,data/processed/porosity/porosity__G158_1.npy,gray,none,1.0,porosity__G158,True,pseudo_pending,val,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G158_1.npy,44,0.000671,2,False,False
porosity__G158_2,porosity,data/raw/porosity/G158_2.jpg,data/processed/porosity/porosity__G158_2.npy,gray,none,1.0,porosity__G158,True,pseudo_pending,val,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G158_2.npy,227,0.003464,5,False,False
porosity__G158_3,porosity,data/raw/porosity/G158_3.jpg,data/processed/porosity/porosity__G158_3.npy,gray,none,1.0,porosity__G158,True,pseudo_pending,val,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G158_3.npy,154,0.00235,2,False,False
porosity__G159_1,porosity,data/raw/porosity/G159_1.jpg,data/processed/porosity/porosity__G159_1.npy,gray,none,1.0,porosity__G159,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G159_1.npy,33,0.000504,1,False,False
porosity__G159_2,porosity,data/raw/porosity/G159_2.jpg,data/processed/porosity/porosity__G159_2.npy,gray,none,1.0,porosity__G159,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G159_2.npy,93,0.001419,4,False,False
